id;createdAt;updatedAt;nome;valuta;2015-08;2015-09;2015-10;2015-11;2015-12;2016-01;2016-02;2016-03;2016-04;2016-05;2016-06;2016-07;2016-08;2016-09
92;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Arance bio - ns;€/Kg;0,00;0,00;0,00;0,48;0,47;0,49;0,45;0,42;0,00;0,00;0,00;0,00;0,00;0,00
93;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Arance bio - Tarocco nucellare;€/Kg;0,00;0,00;0,00;0,40;0,31;1,29;0,13;0,12;0,00;0,00;0,00;0,00;0,00;0,00
94;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Cavolo verza bio - ns;€/Kg;0,00;0,00;0,00;0,43;0,43;0,43;0,43;0,43;0,00;0,00;0,00;0,00;0,00;0,00
95;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Mandarini bio - Ciaculli;€/Kg;0,00;0,00;0,00;0,00;0,00;0,18;0,17;0,17;0,00;0,00;0,00;0,00;0,00;0,00
96;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Mandarini bio - Comune;€/Kg;0,00;0,00;0,00;0,36;0,32;0,21;0,21;0,20;0,00;0,00;0,00;0,00;0,00;0,00
97;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Pere da tavola bio - Conference;€/Kg;0,00;0,00;0,00;0,00;0,00;0,00;1,25;1,25;0,00;0,00;0,00;0,00;0,00;0,00
98;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Pere da tavola bio - Kaiser;€/Kg;0,00;0,00;1,48;1,48;1,48;1,48;1,48;1,48;0,00;0,00;0,00;0,00;0,00;0,00
99;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Clementine bio - Apirene;€/Kg;0,00;0,00;0,38;0,37;0,35;0,22;0,21;0,00;0,00;0,00;0,00;0,00;0,00;0,00
100;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Mele da tavola bio - Fuji;€/Kg;0,00;0,00;1,30;1,30;1,30;1,30;1,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00
101;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Pere da tavola bio - Decana del Comizio;€/Kg;0,00;0,00;0,00;0,00;1,48;1,48;1,48;0,00;0,00;0,00;0,00;0,00;0,00;0,00
102;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Arance bio - Moro;€/Kg;0,00;0,00;0,00;0,32;0,26;0,19;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
103;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Clementine bio - Primosole;€/Kg;0,00;0,00;0,00;0,35;0,32;0,21;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
104;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Loti bio - ns;€/Kg;0,00;0,00;0,90;0,90;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
105;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Mandarini bio - Primosole ;€/Kg;0,00;0,00;0,00;0,36;0,35;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
106;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Mandarini bio - Simeto;€/Kg;0,00;0,00;0,00;0,38;0,36;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
107;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Satsuma bio - ns;€/Kg;0,00;0,00;0,42;0,33;0,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
108;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Zucca bio - Butternut;€/Kg;0,00;0,00;0,65;0,65;0,65;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
109;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Zucca bio - Delica;€/Kg;0,00;0,00;0,75;0,75;0,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
110;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Zucca bio - ns;€/Kg;0,00;0,00;0,38;0,38;0,38;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
111;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Meloni bio - Gialletto;€/Kg;0,40;0,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
